"Eps","Title","Writers","Director","Original_AirDate","Description","Season","URL"
"11 - 2","Mars University","J. Stewart Burns","Bret Haaland","October 3, 1999","Fry goes to college so he can successfully drop out, but ends up becoming roommates with a monkey made intelligent by Professor Farnsworth. Fry gets so jealous of the monkey that he decides to play a cruel trick on him, which makes him doubt his sentience. Bender joins the Robot House and pulls a series of pranks on the college board.","Season 2","https://futurama.fandom.com/wiki/Mars_University"
"12 - 3","When Aliens Attack","Ken Keeler","Brian Sheesley","November 7, 1999","The Omicronians invade Earth, demanding to see the lost final episode of the 1999 TV show Single Female Lawyer which was cut off after Fry accidentally spilled beer on the TV broadcast console in 1999. The Planet Express crew must re-enact the episode to appease the invading aliens led by wannabe alien overlord Lrrr.","Season 2","https://futurama.fandom.com/wiki/When_Aliens_Attack"
"13 - 4","Fry & the Slurm Factory","Lewis Morton","Ron Hughart","November 14, 1999","When Fry wins a free tour of the Slurm soda factory, he and his friends split off from the tour group and make a horrifying discovery concerning the secret ingredient that gives Slurm its famous addictiveness.","Season 2","https://futurama.fandom.com/wiki/Fry_&_the_Slurm_Factory"
"14 - 5","I Second That Emotion","Patric Verrone","Mark Ervin","November 21, 1999","Professor Farnsworth installs an empathy chip in Bender after the inconsiderate robot flushes Nibbler down the toilet. With his newfound emotions, a concerned Bender ventures into the mutant-infested sewers to rescue Leela's beloved pet.","Season 2","https://futurama.fandom.com/wiki/I_Second_That_Emotion"
"15 - 6","Brannigan, Begin Again","Lewis Morton","Jeffrey Lynch","November 28, 1999","Upon destroying the new DOOP headquarters, Zapp Brannigan and Kif find themselves court-martialed and dishonorably discharged. They take up jobs at Planet Express, where Kif learns what respect feels like and Zapp incites a mutiny against Leela.","Season 2","https://futurama.fandom.com/wiki/Brannigan,_Begin_Again"
"16 - 7","A Head in the Polls","J. Stewart Burns","Bret Haaland","December 12, 1999","When the price of titanium skyrockets, Bender pawns his titanium-rich body and lives the high life as just a head. But when the head in a jar of Richard M. Nixon uses Bender's body to run for election for President of Earth, Bender vows to get his rightful property back.","Season 2","https://futurama.fandom.com/wiki/A_Head_in_the_Polls"
"17 - 8","Xmas Story","David X. Cohen","Peter Avanzino","December 19, 1999","To apologize for an inconsiderate remark, Fry searches for the perfect Xmas gift for Leela, all the while trying to avoid the murderous Santa Claus Robot, whose standards for niceness are astronomically high.","Season 2","https://futurama.fandom.com/wiki/Xmas_Story"
"18 - 9","Why Must I Be a Crustacean in Love?","Eric Kaplan","Brian Sheesley","February 6, 2000","When Zoidberg runs amok during the Decapodian mating season, Fry sets out to teach him how to woo a mate but things backfire when Zoidberg's desired mate starts cheating on him and falls for Fry instead, and Zoidberg challenges Fry to a battle to the death.","Season 2","https://futurama.fandom.com/wiki/Why_Must_I_Be_a_Crustacean_in_Love?"
"19 - 10","Put Your Head on My Shoulders","Ken Keeler","Chris Louden","February 13, 2000","Fry's brief relationship with Amy is forcibly prolonged when a near-fatal car crash leaves Fry's head grafted to Amy's left shoulder. Meanwhile, Bender cashes in on Valentine's Day by starting a dating service.","Season 2","https://futurama.fandom.com/wiki/Put_Your_Head_on_My_Shoulders"
"20 - 11","The Lesser of Two Evils","Eric Horsted","Chris Sauve","February 20, 2000","Fry suspects Bender's new buddy, a bending unit named Flexo who looks almost exactly like Bender, of being pure evil. When a valuable atom of Jumbonium goes missing, Fry suspects Flexo, but can't tell which robot is which.","Season 2","https://futurama.fandom.com/wiki/The_Lesser_of_Two_Evils"
"21 - 12","Raging Bender","Lewis Morton","Ron Hughart","February 27, 2000","Bender is the featured attraction in the Ultimate Robot Fighting League, but his glory is short-lived when he is instructed to intentionally lose his next match. Leela vows to lead Bender to victory, in an effort to show up Master Fnuog, her ex-martial arts teacher/rival.","Season 2","https://futurama.fandom.com/wiki/Raging_Bender"
"22 - 13","A Bicyclops Built for Two","Eric Kaplan","Susan Dietter","March 19, 2000","Leela meets Alkazar, who claims to be the only other remaining cyclops in the universe. But when Alcazar invites Leela back to his home planet and treats her like a slave, Fry suspects that something is amiss. He tells Leela that Alkazar is actually a jerk, which forces Leela to decide between being happy and saving the Cyclops race","Season 2","https://futurama.fandom.com/wiki/A_Bicyclops_Built_for_Two"
"23 - 14","How Hermes Requisitioned His Groove Back","Bill Odenkirk","Mark Ervin","April 2, 2000","When Hermes takes a stress-relieving vacation, replacement bureaucrat Morgan Proctor becomes infatuated with Fry. Bender threatens to publicize their affair, but Morgan removes Bender's memory and hides it within the cavernous Central Bureaucracy.","Season 2","https://futurama.fandom.com/wiki/How_Hermes_Requisitioned_His_Groove_Back"
"24 - 15","A Clone of My Own","Patric M. Verrone","Rich Moore","April 9, 2000","Professor Farnsworth unveils his clone, Cubert Farnsworth, whom he plans to leave everything to upon his retirement. But Cubert wants no part of Farnsworth's lifestyle, prompting the professor into a premature retirement on the Near Death Star.","Season 2","https://futurama.fandom.com/wiki/A_Clone_of_My_Own"
"25 - 16","The Deep South","J. Stewart Burns","Bret Haaland","April 16, 2000","A fishing trip over the ocean takes a turn for the worse when a colossal mouth bass pulls the Planet Express ship to the bottom of the sea. There, Fry falls in love with a mermaid named Umbriel, and the crew discovers the sunken city of Atlanta, Georgia.","Season 2","https://futurama.fandom.com/wiki/The_Deep_South"
"26 - 17","Bender Gets Made","Eric Horsted","Peter Avanzino","April 30, 2000","Bender takes a new job in the Robot Mafia, but his loyalty is tested when he goes along on the robotic gangster's efforts to rob the Planet Express ship.","Season 2","https://futurama.fandom.com/wiki/Bender_Gets_Made"
"27 - 18","The Problem with Popplers","P. M. Verrone, D. Henry","C. Sauve, G. Vanzo","May 7, 2000","The crew discovers an irresistible source of food on a distant planet, and brings it back to Earth to be sold at the Fishy Joe's restaurant chain. But when it's discovered that the so-called Popplers are actually Omicronian babies. This causes the angry Omicronian race to invade earth in retaliation for their children being eaten the Omicronians demand recompense by having permission to eat Leela, who unfortunatley started the Poppler chain.","Season 2","https://futurama.fandom.com/wiki/The_Problem_with_Popplers"
"28 - 19","Mother's Day","Lewis Morton","Brian Sheesley","May 14, 2000","Mom reprograms the world's robots to rebel against humanity. The only hope of salvation is Mom's old flame - Professor Farnsworth, who must rekindle his romance with Mom in order to save mankind.","Season 2","https://futurama.fandom.com/wiki/Mother's_Day"
"29 - 20","Anthology of Interest I","E. Rogers, K. Keeler, D. Cohen","C. Louden, R. Moore","May 21, 2000","The Professor's What-If Machine simulates Bender, Leela and Fry's wishes. Bender discovers what it would be like if he were 500 feet tall, Leela discovers what it would be like if she were more impulsive, and Fry discovers what would happen if he never came to the future.","Season 2","https://futurama.fandom.com/wiki/Anthology_of_Interest_I"
"30 - 1","The Honking","Ken Keeler","Susie Dietter","November 5, 2000","At his late Uncle Vladimir's estate, Bender is run over by a vicious Were-car, inheriting the curse. The only way to stop Bender's fatal transformations is to seek out and destroy the original Were-car - the deadly Project Satan.","Season 3","https://futurama.fandom.com/wiki/The_Honking"
"31 - 2","War is the H-Word","Eric Horsted","Ron Hughart","November 26, 2000","Upon enrolling in the Earth army to get a military discount at the convenience store, Fry and Bender are whisked into war against a planet of ball-like aliens. Leela secretly enters the ranks to keep an eye on her friends.","Season 3","https://futurama.fandom.com/wiki/War_is_the_H-Word"
"32 - 3","The Cryonic Woman","J. Stewart Burns","Mark Ervin","December 3, 2000","Fry, Leela, and Bender all lose their jobs at Planet Express, and they endeavor to return to their old jobs. Due to a mix-up of their career chips, Fry becomes a career counselor at Applied Cryogenics, where he meets up with a familiar defrostee - his girlfriend from the 20th century, Michelle.","Season 3","https://futurama.fandom.com/wiki/The_Cryonic_Woman"
"33 - 4","Parasites Lost","Eric Kaplan","Peter Avanzino","January 21, 2001","When Fry becomes infested with parasitic worms that make him stronger and smarter, he finally finds the perfect way to profess his feelings to Leela. Meanwhile, the rest of the crew go on a Fantastic Voyage-esque journey into Fry's body to eradicate the worms.","Season 3","https://futurama.fandom.com/wiki/Parasites_Lost"
"34 - 5","Amazon Women in the Mood","Lewis Morton","Brian Sheesley","February 4, 2001","A double-date for Kif, Amy, Zapp, and Leela ends in disaster when their orbiting restaurant crashes on planet Amazonia. The hulking female inhabitants of the planet take their male captives to the omniscient Femputer, who orders Fry, Zapp, and Kif to death by ""snu-snu"".","Season 3","https://futurama.fandom.com/wiki/Amazon_Women_in_the_Mood"
"35 - 6","Bendless Love","Eric Horsted","Swinton O. Scott III","February 11, 2001","Bender's urge to bend prompts Professor Farnsworth to send him on a rehabilitation visit to a steel factory, where he falls in love with a shapely fem-bot named Angleyne. But Bender's old rival Flexo and the intrusion of the Robot Mafia threaten to throw a wrench into the proceedings.","Season 3","https://futurama.fandom.com/wiki/Bendless_Love"
"36 - 7","The Day the Earth Stood Stupid","Jeff Westbrook","Mark Ervin","February 18, 2001","Earth is invaded by super-intelligent flying brains, who sap the Earth's populace of their intelligence. Leela is taken to Nibbler's home planet Eternium, where the Nibblonians explain that only one human is immune to the brains' powers – Fry.","Season 3","https://futurama.fandom.com/wiki/The_Day_the_Earth_Stood_Stupid"
"37 - 8","That's Lobstertainment!","Patric M. Verrone","Bret Haaland","February 25, 2001","Dr. Zoidberg reunites with his uncle, silent hologram star Harold Zoid, and the two of them set out to make a movie together. They cast the temperamental Calculon in the lead role, who demands an Oscar for his performance, but the movie doesn't go over well with audiences.","Season 3","https://futurama.fandom.com/wiki/That's_Lobstertainment!"
"38 - 9","The Birdbot of Ice-Catraz","Dan Vebber","James Purdum","March 4, 2001","A sober Bender crashes a dark matter tanker on Pluto, threatening the penguin reserve nearby. Leela helps out in the clean-up, but when the penguins begin mating out of control, drastic action must be taken to thin the herd.","Season 3","https://futurama.fandom.com/wiki/The_Birdbot_of_Ice-Catraz"
"39 - 10","The Luck of the Fryrish","Ron Weiner","Chris Louden","March 11, 2001","After a string of bad luck, Fry ventures into the decaying ruins of Old New York to regain his lucky seven leaf clover from his childhood, only to find that his brother Yancy Fry had stolen not only the clover, but Fry's identity as well. Fry sets out to exhume his brother's body, but discovers a startling truth about Yancy instead.","Season 3","https://futurama.fandom.com/wiki/The_Luck_of_the_Fryrish"
"40 - 11","The Cyber House Rules","Lewis Morton","Susie Dietter","April 1, 2001","Leela meets up with her former orphanarium playmate Adlai Atkins, now a phaser eye surgeon, who offers to grant Leela surgery that will give her two eyes. Meanwhile, Bender adopts twelve orphans in order to collect $1,200 in government stipends.","Season 3","https://futurama.fandom.com/wiki/The_Cyber_House_Rules"
"41 - 12","Insane in the Mainframe","Bill Odenkirk","Peter Avanzino","April 8, 2001","Accused of robbing a bank, Fry and Bender plead insanity and are both sent to robot insane asylum. While Bender and his buddy Roberto plan an escape, Fry is brainwashed into thinking that he is a robot.","Season 3","https://futurama.fandom.com/wiki/Insane_in_the_Mainframe"
"42 - 13","Bendin' in the Wind","Eric Horsted","Ron Hughart","April 22, 2001","When Bender is paralyzed in a tragic can opener accident, he discovers his musical washboard skills and goes on tour as a member of Beck's folk-rock band, acting as a voice for broken robots everywhere. Fry, Leela, Amy, and Zoidberg tag along in Fry's antique 1960s VW Van.","Season 3","https://futurama.fandom.com/wiki/Bendin'_in_the_Wind"
"43 - 14","Time Keeps on Slippin'","Ken Keeler","Chris Louden","May 6, 2001","While creating a team of mutants to play the Harlem Globetrotters, the Professor accidentally causes a disruption in time that threatens the existence of the universe. Meanwhile, Fry tries to win an unreceptive Leela's heart.","Season 3","https://futurama.fandom.com/wiki/Time_Keeps_on_Slippin'"
"44 - 15","I Dated a Robot","Eric Kaplan","James Purdum","May 13, 2001","Fry discovers the ability to download any celebrity onto a blank robot, and chooses to download Lucy Liu, with whom he falls madly in love. Repulsed by this disgusting display of human/robot love, Leela, Bender, and Zoidberg set out to shut down Nappster.com and put an end to illegal celebrity downloads forever.","Season 3","https://futurama.fandom.com/wiki/I_Dated_a_Robot"
"45-1","Roswell that Ends Well","J. Stewart Burns","Rich Moore","December 9, 2001","The combined explosions of a supernova and Fry putting metal in the microwav<U+0435> hurtle the Planet Express crew back in time to 1947. They land at Roswell, New Mexico, where a shattered Bender is mistaken for UFO debris, Zoidberg is kidnapped by the U.S government and taken in for an alien autopsy, and Fry accidentally kills his grandfather, Enos Fry, in a nuclear explosion.","Season 4","https://futurama.fandom.com/wiki/Roswell_that_Ends_Well"
"46 - 2","A Tale of Two Santas","Bill Odenkirk","Ron Hughart","December 23, 2001","A Planet Express mission to Robot Santa Claus' colony on Neptune leaves the murderous robot trapped in the frozen sea, and Bender takes over as Santa, vowing to bring peace and goodwill to Xmas again. But when Bender is mistaken for the real Robot Santa Claus, he is arrested and sentenced to death.","Season 4","https://futurama.fandom.com/wiki/A_Tale_of_Two_Santas"
"47 - 3","Anthology of Interest II","L. Morton, D. X. Cohen, J. Gorbett, S. Kirby","Bret Haaland","January 6, 2002","When the Professor fine-tunes his What-If Machine, Bender discovers what it would be like if he were human, Fry discovers what it would be like if life were more like a video game, and Leela discovers what it would be like if she found her true home.","Season 4","https://futurama.fandom.com/wiki/Anthology_of_Interest_II"
"48 - 4","Love and Rocket","Dan Vebber","Brian Sheesley","February 10, 2002","Bender falls deeply in love with the Planet Express ship autopilot's female voice setting. Meanwhile, Fry searches for the perfect candy heart to properly convey his feelings for Leela.","Season 4","https://futurama.fandom.com/wiki/Love_and_Rocket"
"49 - 5","Leela's Homeworld","Kristin Gore","Mark Ervin","February 17, 2002","When Bender disposes nuclear waste in the sewers, the angry mutants drag him, Fry, and Leela down to the depths to be mutated. As they attempt to escape, Leela makes an incredible discovery about her true heritage, finally meeting her parents for the first time.","Season 4","https://futurama.fandom.com/wiki/Leela's_Homeworld"
"50 - 6","Where the Buggalo Roam","J. Stewart Burns","Pat Shinagawa","March 3, 2002","When Amy's parents' ranch is hit by a dust storm that blows away their herd of buggalo, Kif sets out to prove his masculinity by rounding up the herd, only to become entangled with the native Martians.","Season 4","https://futurama.fandom.com/wiki/Where_the_Buggalo_Roam"
"51 - 7","A Pharaoh to Remember","Ron Weiner","Mark Ervin","March 10, 2002","Bender fears that nobody will remember him after he dies, and sees his chance for immortality when the crew is enslaved on the planet O'Cyris IV. Posing as the planet's new pharaoh, Bender orders a humongous statue built in his honor, and quickly goes mad with power and tyranny.","Season 4","https://futurama.fandom.com/wiki/A_Pharaoh_to_Remember"
"52 - 8","Godfellas","Ken Keeler","Susie Dietter","March 17, 2002","Bender is accidentally shot out of the ship's torpedo tube and becomes lost in space. Floating through the ethereal darkness, Bender becomes inhabited with tiny alien life forms, but has trouble playing God to their unyielding prayers until he meets the real thing","Season 4","https://futurama.fandom.com/wiki/Godfellas"
"53 - 9","Future Stock","Aaron Ehasz","Brian Sheesley","March 31, 2002","With Planet Express in financial trouble, Fry nominates a flashy businessman named Steve ""That Guy"" Castle from the 1980s to replace Professor Farnsworth as CEO of the company. That Guy goes on to sell Planet Express to Mom's Friendly Robot Corporation, putting everyone out of a job.","Season 4","https://futurama.fandom.com/wiki/Future_Stock"
"54 - 10","A Leela of Her Own","Patric M. Verrone","Swinton O. Scott III","April 7, 2002","Leela endeavors to become the first female blernsball player, but her lack of depth perception hinders her skills. Nevertheless, she becomes the pitcher for the New New York Mets, purely for her novelty value.  Fry helps a couple of aliens with their struggling pizza business.","Season 4","https://futurama.fandom.com/wiki/A_Leela_of_Her_Own"
"55 - 11","The 30% Iron Chef","Jeff Westbrook","Ron Hughart","April 14, 2002","Bender receives culinary lessons from the great chef Helmut Spargle, and puts his skills to the test on national television when he competes against Elzar on ""Iron Cook"". Meanwhile, Dr. Zoidberg accidentally destroys Professor Farnsworth's ship-in-a-bottle and pins the blame on Fry, only to be struck with remorse afterward.","Season 4","https://futurama.fandom.com/wiki/The_30%25_Iron_Chef"
"56 - 12","Where No Fan Has Gone Before","David A. Goodman","Pat Shinagawa","April 21, 2002","Fry leads the crew on a quest across the galaxy to regain the forbidden 79 episodes of Star Trek, where they encounter the original cast of the show - as well as their captor, an obsessive energy being named Melllvar.","Season 4","https://futurama.fandom.com/wiki/Where_No_Fan_Has_Gone_Before"
"57 - 1","Crimes of the Hot","Aaron Ehasz","Peter Avanzino","November 10, 2002","The rapid increase in global warming is traced to a ventilation flaw that Professor Farnsworth failed to correct in his first robot prototype. As a result, all robots are ordered to be destroyed by Nixon's head, but Bender refuses to go and join the genocide without a fight.","Season 5","https://futurama.fandom.com/wiki/Crimes_of_the_Hot"
"58 - 2","Jurassic Bark","Eric Kaplan","Swinton O. Scott III","November 17, 2002","Fry discovers his dog Seymour is being exhibited in a museum as a fossil, and takes it to Professor Farnsworth's lab to be revived. However, Bender is displeased with the lack of attention he has been receiving and becomes increasingly jealous of Seymour's fossil.","Season 5","https://futurama.fandom.com/wiki/Jurassic_Bark"
"59 - 3","The Route of All Evil","Brian Sheesley","Dan Vebber","December 8, 2002","Farnsworth's clone Cubert teams up with Hermes' son Dwight to launch a newspaper delivery business. Farnsworth and Hermes scoff at the kids' efforts - until the delivery boys accumulate enough capital to buy out Planet Express. Meanwhile, Fry and Leela use Bender to brew their own homemade beer.","Season 5","https://futurama.fandom.com/wiki/The_Route_of_All_Evil"
"60 - 4","A Taste of Freedom","Eric Horsted","James Purdum","December 22, 2002","When Zoidberg publicly devours an Earth flag for the reason of glorifying Earth, he ends up being accused of desecration. He is given a very unfair trial by the Earth Supreme Court and is sentenced to death. Before the sentence can be carried out, the Decapodians come to Zoidberg's aid by invading Earth, teaching the populace the true meaning of freedom but not in the way Zoidberg envisioned it.","Season 5","https://futurama.fandom.com/wiki/A_Taste_of_Freedom"
"61 - 5","Kif Gets Knocked Up a Notch","Bill Odenkirk","Wes Archer","January 12, 2003","Amy's relationship with Kif along with a mishap with Leela on the Nimbus leads to pregnancy... Kif being the pregnant one . But Amy fears that she won't be able to handle the burdens of motherhood, much to Kif's dismay.","Season 5","https://futurama.fandom.com/wiki/Kif_Gets_Knocked_Up_a_Notch"
"62 - 6","Less than Hero","Rob Weiner","Susie Dietter","March 2, 2003","Dr. Zoidberg's mysterious miracle cream gives Fry and Leela superpowers. Teaming up with Bender, they form the New Justice Team, under the respective alter egos of Captain Yesterday, Clobberella, and Super King. But Leela's new duties as a superheroine put a strain on her relationship with her parents.","Season 5","https://futurama.fandom.com/wiki/Less_than_Hero"
"63 - 7","Teenage Mutant Leela's Hurdles","Bret Haaland","Jeff Westbrook","March 30, 2003","The crew's attempts to de-age Professor Farnsworth result in everyone returning to their more youthful stages. While Farnsworth seeks out a way to re-age the crew, the newly-teenaged Leela takes the opportunity to experience the parental childhood she never had.","Season 5","https://futurama.fandom.com/wiki/Teenage_Mutant_Leela's_Hurdles"
"64 - 8","The Why of Fry","David X. Cohen","Wes Archer","April 6, 2003","Still unable to impress Leela, Fry sadly suspects that he has no importance in life - until Nibbler takes him on a mission to prevent the brains from destroying the universe. In the process, Fry learns what really happened when he was cryogenically frozen on December 31, 1999.","Season 5","https://futurama.fandom.com/wiki/The_Why_of_Fry"
"65 - 9","The Sting","Patric M. Verrone","Brian Sheesley","June 1, 2003","The Planet Express crew goes on a mission to collect honey from a hive of space bees, which can kill instantly using their poisonous stings. The crew succeeds in getting the honey but the mission all goes wrong when Fry gets stung.","Season 5","https://futurama.fandom.com/wiki/The_Sting"
"66 - 10","The Farnsworth Parabox","Bill Odenkirk","Ron Hughart","June 8, 2003","Professor Farnsworth forbids the crew to look inside a mysterious box. Leela can't resist taking a peek, discovering the box to be a gateway to a parallel universe.","Season 5","https://futurama.fandom.com/wiki/The_Farnsworth_Parabox"
"67 - 11","Three Hundred Big Boys","Eric Kaplan","Swinton O. Scott III","June 15, 2003","A $300 refund for all taxpayers results in a series of interconnected stories, following the Planet Express crew's endeavors to spend their money. Fry recklessley decides to spend his refund on 100 cups of coffee and Leela plans to swin with a whale known as Mushu. Bender steals a $10,000  Cuban cigar and Zoidberg has some trouble on deciding how to spend his refund.  Kif spends his rebate on gifts for Amy but is devastated when one of them is lost","Season 5","https://futurama.fandom.com/wiki/Three_Hundred_Big_Boys"
"68 - 12","Spanish Fry","Rob Weiner","Peter Avanzino","July 13, 2003","Fry is abducted by aliens, who harvest his nose as an aphrodisiac. The crew traces Fry's missing nose to Lrrr, leader of the Omicronians, who decides that Fry's ""lower horn"" would be a much better aphrodisiac to jump start his stagnant and rocky marriage with Ndnd.","Season 5","https://futurama.fandom.com/wiki/Spanish_Fry"
"69 - 13","Bend Her","Michael Rowe","James Purdum","July 20, 2003","In order to compete in the Fembot's division of the 3004 Olympics and cheat in it, Bender is surgically rebuilt to become a woman. Her trashy and stereotypical behavior catches the eye of Calculon, with whom she develops a strong and confusing celebrity relationship.","Season 5","https://futurama.fandom.com/wiki/Bend_Her"
"70 - 14","Obsoletely Fabulous","Dan Vebber","Dwayne Carey-Hill","July 27, 2003","Bender is incompatible with Professor Farnsworth's new Robot 1-X, but rather than get an upgrade, Bender escapes to a desert island to start his life anew. There, he meets several other outdated robots and receives a downgrade, then leads his new comrades in a rebellion against technology.","Season 5","https://futurama.fandom.com/wiki/Obsoletely_Fabulous"
"71 - 15","Bender Should Not Be Allowed on Television","Lewis Morton","Ron Hughart","August 3, 2003","All My Circuits holds an audition to replace the part of Calculon's son, and Bender lands the part. Soon, Bender's uninhibited behavior proves to be a bad influence on children, and an outraged Bender leads a protest group to get himself banned from the airwaves.","Season 5","https://futurama.fandom.com/wiki/Bender_Should_Not_Be_Allowed_on_Television"
"72 - 16","The Devil's Hands Are Idle Playthings","Ken Keeler","Bret Haaland","August 10, 2003","Desperate to learn how to play the holophonor in order to impress Leela, Fry swaps hands with the Robot Devil. He goes on to become a skilled holophonor player, winning Leela's heart and penning an opera about her life story, but the Robot Devil still has a trick or two up his sleeve.","Season 5","https://futurama.fandom.com/wiki/The_Devil's_Hands_Are_Idle_Playthings"
"1-4, 73 - 76","Bender's Big Score","Ken Keeler, David X. Cohen","Dwayne Carey-Hill","March 23, 2008","Professor Farnsworth foolishly sells Planet Express to a trio of nudist scammers and they take control of Bender with a malicious virus. They find out that Fry has a tattoo of Bender on his butt, which contains a mysterious and forbidden power inside it. The scammers send Bender out to kill Fry and obtain the tattoo while they take the time to scam the rest of the universe. Leela starts a relationship with a man named Lars Filmore, who has a shocking secret lying within him. Hermes loses his head in an accident","Season 6","https://futurama.fandom.com/wiki/Bender's_Big_Score"
"5-8, 77 - 80","The Beast with a Billion Backs","Eric Kaplan, David X. Cohen","Peter Avanzino","October 19, 2008","A month has passed since Bender's actions causes a rip in the universe to open and create an anomaly. The Planet Express Crew works overtime to find out what is lurking behind the anomaly. Fry starts a relationship with a girl named Colleen only to find out that she is already in a polyamorous relationship with several other men. Amy finally marries Kif but their marriage is short lived when Zapp betrays Kif and causes a huge accident which ends up killing him. Fry finds out that the thing lurking behind the anomaly is actually a gigantic being known as Yivo. Yivo quickly takes control of Fry and starts terrorizing the universe. Then the entire population of organic beings abandons Earth and the Robots, including Bender","Season 6","https://futurama.fandom.com/wiki/The_Beast_with_a_Billion_Backs"
"9-12, 81 - 84","Bender's Game","Eric Horsted, David X. Cohen","Dwayne Carey-Hill","April 25, 2009","When the price of Dark Matter suddenly rises to a ridiculous amount, the Planet Express Crew starts rationing fuel and ends up finding Mom's primary source of income. Leela disobeys Farnsworths ration rule to teach a lesson to a couple of lazy guys who insulted the crews ship and Zoidberg tells on Leela. Leela has an electric collar put on her because of anger issues and she starts blaming all of her problems on Zoidberg, bullying him constantly. Bender becomes obsessed with the Dungeons And Dragons game and is sent to an insane asylum. Nibbler is kidnapped by Mom's sons and the crew goes out to rescue him, only to be sent into a mysterious fantasy world.","Season 6","https://futurama.fandom.com/wiki/Bender's_Game"
